State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound
1,0,AL,Alabama,"896,515","880,205","912,825",19,18.7,19.3,"306,451","298,963","313,939",27.6,26.9,28.3,"208,811","202,516","215,106",25.8,25,26.6,41610.00,"41,143","42,077","94,623","90,649","98,597",31.6,30.3,32.9
1,1,AL,Autauga County,"7,017","5,688","8,346",12.7,10.3,15.1,"2,648","2,088","3,208",18.5,14.6,22.4,"1,883","1,479","2,287",17.6,13.8,21.4,51441.00,"47,185","55,697",.,.,.,.,.,.
1,3,AL,Baldwin County,"26,177","22,636","29,718",13.9,12,15.8,"8,723","7,204","10,242",20.5,16.9,24.1,"6,109","4,961","7,257",19.4,15.7,23.1,48867.00,"46,453","51,281",.,.,.,.,.,.
1,5,AL,Barbour County,"6,892","5,776","8,008",29,24.3,33.7,"2,683","2,322","3,044",47,40.7,53.3,"1,797","1,514","2,080",42.9,36.2,49.6,30287.00,"27,664","32,910",.,.,.,.,.,.
1,7,AL,Bibb County,"4,371","3,463","5,279",21.5,17,26,"1,297",996,"1,598",27.2,20.9,33.5,914,702,"1,126",25.6,19.7,31.5,37392.00,"33,881","40,903",.,.,.,.,.,.
1,9,AL,Blount County,"9,264","7,634","10,894",16.2,13.4,19,"3,179","2,552","3,806",23.1,18.6,27.6,"2,226","1,776","2,676",21.7,17.3,26.1,44225.00,"40,725","47,725",.,.,.,.,.,.
1,11,AL,Bullock County,"2,848","2,180","3,516",32.3,24.7,39.9,949,735,"1,163",43.2,33.5,52.9,642,492,792,42.8,32.8,52.8,25854.00,"23,441","28,267",.,.,.,.,.,.
1,13,AL,Butler County,"5,247","4,403","6,091",26.3,22.1,30.5,"1,959","1,642","2,276",42.1,35.3,48.9,"1,325","1,092","1,558",38.9,32.1,45.7,30605.00,"27,837","33,373",.,.,.,.,.,.
1,15,AL,Calhoun County,"24,533","21,777","27,289",21.4,19,23.8,"8,212","7,051","9,373",31.4,27,35.8,"5,825","4,993","6,657",30.5,26.1,34.9,39212.00,"36,463","41,961",.,.,.,.,.,.
1,17,AL,Chambers County,"7,210","5,963","8,457",21.5,17.8,25.2,"2,557","2,128","2,986",34.7,28.9,40.5,"1,972","1,682","2,262",36.3,31,41.6,32320.00,"30,034","34,606",.,.,.,.,.,.
1,19,AL,Cherokee County,"5,027","3,994","6,060",19.6,15.6,23.6,"1,607","1,247","1,967",29.9,23.2,36.6,"1,104",848,"1,360",26.8,20.6,33,37868.00,"34,890","40,846",.,.,.,.,.,.
1,21,AL,Chilton County,"8,701","7,185","10,217",20.1,16.6,23.6,"3,218","2,615","3,821",30.2,24.5,35.9,"2,095","1,651","2,539",27,21.3,32.7,39621.00,"36,341","42,901",.,.,.,.,.,.
1,23,AL,Choctaw County,"2,802","2,259","3,345",20.8,16.8,24.8,890,698,"1,082",30.1,23.6,36.6,602,467,737,26.9,20.8,33,33390.00,"30,479","36,301",.,.,.,.,.,.
1,25,AL,Clarke County,"5,343","4,340","6,346",21.5,17.5,25.5,"1,881","1,465","2,297",31.8,24.8,38.8,"1,277",983,"1,571",28.3,21.8,34.8,34606.00,"31,450","37,762",.,.,.,.,.,.
