State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
0,0,US,United States,"38,757,253","38,535,015","38,979,491",13.3,13.2,13.4,"13,285,569","13,170,950","13,400,188",18.3,18.2,18.5,"8,700,048","8,613,863","8,786,233",16.7,16.6,16.9,"48,451","48,369","48,533","4,211,345","4,166,465","4,256,225",21,20.8,21.2
1,0,AL,Alabama,"743,556","730,298","756,815",16.6,16.3,16.9,"253,314","246,023","260,606",23.1,22.4,23.8,"171,004","164,556","177,452",21.5,20.7,22.3,"38,811","38,320","39,302","77,388","74,009","80,767",26.3,25.1,27.4
1,1,AL,Autauga County,"6,152","5,049","7,254",12.5,10.2,14.7,"2,115","1,708","2,522",16.5,13.3,19.6,"1,444","1,142","1,746",15.2,12,18.4,"46,491","43,547","49,435", , , , , , 
1,3,AL,Baldwin County,"18,269","15,406","21,132",11,9.2,12.7,"5,895","4,819","6,972",15.7,12.9,18.6,"3,941","3,123","4,759",14.3,11.3,17.3,"45,493","42,921","48,065", , , , , , 
1,5,AL,Barbour County,"7,247","6,151","8,342",28.7,24.4,33.1,"2,224","1,819","2,630",34,27.8,40.2,"1,606","1,286","1,926",33.1,26.5,39.7,"28,692","26,408","30,977", , , , , , 
1,7,AL,Bibb County,"3,791","2,993","4,588",18.8,14.8,22.7,"1,259",994,"1,525",24.9,19.7,30.2,870,671,"1,069",23.3,18,28.6,"36,794","33,460","40,129", , , , , , 
1,9,AL,Blount County,"7,118","5,742","8,494",12.8,10.3,15.2,"2,323","1,859","2,787",17.6,14.1,21.1,"1,591","1,245","1,937",16.3,12.8,19.9,"41,494","38,297","44,692", , , , , , 
1,11,AL,Bullock County,"3,074","2,435","3,712",32.9,26.1,39.8,"1,011",800,"1,221",38.2,30.2,46.1,698,545,851,36.7,28.7,44.8,"23,095","20,956","25,234", , , , , , 
1,13,AL,Butler County,"4,602","3,690","5,513",22.8,18.3,27.3,"1,551","1,232","1,871",31.2,24.8,37.7,"1,098",852,"1,344",30.2,23.4,36.9,"29,158","26,831","31,484", , , , , , 
1,15,AL,Calhoun County,"19,388","16,803","21,973",17.6,15.2,19.9,"6,899","5,813","7,985",26.8,22.6,31,"4,686","3,859","5,513",25.6,21.1,30.1,"36,684","34,119","39,249", , , , , , 
1,17,AL,Chambers County,"6,314","5,162","7,465",18.3,14.9,21.6,"2,160","1,751","2,569",26,21,30.9,"1,481","1,182","1,780",24,19.2,28.9,"32,014","29,360","34,668", , , , , , 
1,19,AL,Cherokee County,"4,431","3,557","5,304",18.1,14.5,21.7,"1,354","1,075","1,633",26,20.6,31.3,939,730,"1,148",24.3,18.9,29.7,"37,097","34,362","39,832", , , , , , 
1,21,AL,Chilton County,"7,871","6,447","9,295",19,15.5,22.4,"2,654","2,167","3,140",26.4,21.5,31.2,"1,782","1,437","2,127",24.3,19.6,29,"36,717","33,810","39,623", , , , , , 
1,23,AL,Choctaw County,"3,410","2,685","4,134",23.5,18.5,28.5,"1,052",832,"1,271",30.7,24.3,37.1,751,583,919,29.4,22.8,36,"28,730","26,088","31,372", , , , , , 
1,25,AL,Clarke County,"6,862","5,632","8,091",25.6,21,30.1,"2,230","1,792","2,668",31.8,25.5,38,"1,629","1,290","1,968",31,24.6,37.5,"29,659","27,100","32,219", , , , , , 
1,27,AL,Clay County,"2,110","1,686","2,534",15.6,12.4,18.7,603,478,728,20.5,16.2,24.7,420,324,516,18.8,14.5,23.1,"32,512","29,593","35,431", , , , , , 
1,29,AL,Cleburne County,"2,313","1,823","2,803",15.9,12.5,19.3,790,621,960,23.9,18.8,29,532,409,655,21.6,16.6,26.6,"35,119","32,171","38,067", , , , , , 
1,31,AL,Coffee County,"6,424","5,370","7,477",14.2,11.9,16.6,"2,207","1,794","2,620",20.7,16.8,24.5,"1,505","1,203","1,807",19.4,15.5,23.3,"41,417","38,738","44,096", , , , , , 
1,33,AL,Colbert County,"7,775","6,431","9,119",14.4,11.9,16.9,"2,588","2,092","3,083",21.5,17.4,25.7,"1,753","1,378","2,128",19.6,15.4,23.8,"36,690","34,005","39,376", , , , , , 
1,35,AL,Conecuh County,"3,498","2,771","4,225",26.3,20.9,31.8,"1,212",965,"1,458",38.3,30.5,46.1,827,642,"1,012",34.4,26.7,42.1,"25,992","23,684","28,301", , , , , , 
1,37,AL,Coosa County,"1,826","1,456","2,196",16.7,13.3,20.1,558,443,674,23.4,18.5,28.2,397,308,486,21.8,16.9,26.7,"32,424","29,616","35,231", , , , , , 
1,39,AL,Covington County,"6,205","5,098","7,313",16.9,13.9,19.9,"2,072","1,672","2,472",25.1,20.2,29.9,"1,448","1,132","1,764",24.1,18.9,29.4,"30,293","28,176","32,409", , , , , , 
1,41,AL,Crenshaw County,"2,707","2,181","3,234",20,16.1,23.9,875,698,"1,052",27.9,22.3,33.5,613,477,749,27.2,21.2,33.2,"30,576","27,986","33,165", , , , , , 
1,43,AL,Cullman County,"12,402","10,699","14,105",15.7,13.5,17.8,"3,654","2,991","4,318",20.3,16.6,23.9,"2,313","1,854","2,772",17.6,14.1,21.1,"35,774","33,268","38,279", , , , , , 
1,45,AL,Dale County,"7,891","6,595","9,187",16.9,14.1,19.7,"3,007","2,452","3,563",23.2,18.9,27.5,"2,078","1,676","2,480",22.6,18.2,26.9,"36,969","34,137","39,801", , , , , , 
1,47,AL,Dallas County,"12,234","10,197","14,271",28.2,23.5,32.9,"4,685","3,836","5,534",39.2,32.1,46.3,"3,345","2,710","3,980",38.9,31.5,46.3,"26,135","23,934","28,335", , , , , , 
1,49,AL,DeKalb County,"11,478","9,580","13,376",17.1,14.3,19.9,"4,037","3,293","4,780",24.4,19.9,28.9,"2,671","2,106","3,236",23,18.1,27.8,"31,613","29,854","33,372", , , , , , 
1,51,AL,Elmore County,"9,043","7,570","10,515",13,10.9,15.1,"2,949","2,396","3,502",16.4,13.3,19.5,"2,141","1,708","2,574",16.3,13,19.6,"50,006","46,992","53,021", , , , , , 
1,53,AL,Escambia County,"7,979","6,598","9,360",22.4,18.5,26.2,"2,753","2,279","3,226",31.7,26.2,37.1,"1,814","1,445","2,183",29,23.1,34.8,"32,844","30,559","35,129", , , , , , 
1,55,AL,Etowah County,"16,973","14,543","19,404",16.7,14.3,19.1,"5,697","4,689","6,705",24.5,20.1,28.8,"3,814","3,054","4,574",22.5,18,27,"32,448","30,892","34,005", , , , , , 
1,57,AL,Fayette County,"2,942","2,355","3,529",16.7,13.3,20,859,684,"1,034",22,17.5,26.5,616,480,752,20.9,16.3,25.6,"34,465","31,712","37,218", , , , , , 
1,59,AL,Franklin County,"5,156","4,228","6,084",17,13.9,20,"1,823","1,458","2,188",24.9,19.9,29.9,"1,279","1,000","1,558",24.4,19.1,29.8,"30,911","28,532","33,290", , , , , , 
1,61,AL,Geneva County,"4,978","3,985","5,971",19.5,15.6,23.4,"1,702","1,353","2,051",29.9,23.8,36.1,"1,189",924,"1,454",28.6,22.2,35,"30,230","27,615","32,845", , , , , , 
1,63,AL,Greene County,"3,075","2,428","3,722",33.2,26.2,40.2,"1,035",818,"1,252",41.8,33,50.5,726,562,890,39.5,30.5,48.4,"23,404","21,261","25,546", , , , , , 
1,65,AL,Hale County,"4,238","3,465","5,010",24.9,20.3,29.4,"1,467","1,175","1,758",31.9,25.6,38.3,"1,006",792,"1,220",28.8,22.7,34.9,"29,268","26,715","31,820", , , , , , 
1,67,AL,Henry County,"2,941","2,353","3,530",17.8,14.3,21.4,945,746,"1,143",25.4,20.1,30.7,664,513,815,24.8,19.2,30.5,"35,398","32,187","38,609", , , , , , 
1,69,AL,Houston County,"15,347","14,024","16,669",16.3,14.9,17.7,"5,746","5,099","6,393",24.7,21.9,27.5,"4,000","3,479","4,521",23.8,20.7,26.9,"37,415","35,430","39,401", , , , , , 
1,71,AL,Jackson County,"8,210","6,766","9,654",15.5,12.7,18.2,"2,753","2,207","3,299",23,18.5,27.6,"1,812","1,422","2,202",20.6,16.1,25,"37,545","34,710","40,379", , , , , , 
1,73,AL,Jefferson County,"91,811","84,500","99,123",14.3,13.2,15.4,"31,889","28,181","35,597",20.3,17.9,22.6,"21,656","18,726","24,586",19.2,16.6,21.9,"41,731","40,685","42,778", , , , , , 
1,75,AL,Lamar County,"2,639","2,123","3,156",18.4,14.8,22,785,623,947,25.4,20.1,30.6,524,405,643,22.9,17.7,28.1,"31,891","29,106","34,676", , , , , , 
1,77,AL,Lauderdale County,"14,682","12,690","16,674",17.1,14.8,19.4,"4,410","3,680","5,140",23.8,19.8,27.7,"2,860","2,304","3,416",20.7,16.7,24.8,"37,801","35,478","40,125", , , , , , 
1,79,AL,Lawrence County,"4,967","4,002","5,933",14.6,11.8,17.4,"1,610","1,282","1,938",20.2,16.1,24.3,"1,142",891,"1,393",19,14.8,23.2,"37,501","34,226","40,776", , , , , , 
1,81,AL,Lee County,"22,579","20,409","24,749",18.7,16.9,20.5,"5,014","4,147","5,882",18.3,15.1,21.5,"3,245","2,588","3,902",16.2,12.9,19.5,"37,568","34,807","40,329", , , , , , 
1,83,AL,Limestone County,"9,755","8,180","11,329",14,11.8,16.3,"3,191","2,600","3,782",19.1,15.6,22.7,"1,962","1,571","2,353",15.8,12.6,18.9,"44,253","41,931","46,576", , , , , , 
1,85,AL,Lowndes County,"3,560","2,844","4,276",28,22.4,33.7,"1,243",988,"1,499",36.9,29.3,44.5,892,695,"1,089",35.5,27.7,43.3,"26,390","24,171","28,609", , , , , , 
1,87,AL,Macon County,"6,072","4,941","7,203",30.2,24.5,35.8,"1,907","1,521","2,293",38.2,30.5,46,"1,323","1,030","1,616",34.6,26.9,42.2,"24,467","22,597","26,338", , , , , , 
1,89,AL,Madison County,"33,384","28,977","37,791",11.2,9.8,12.7,"10,420","8,786","12,055",14.4,12.2,16.7,"6,731","5,528","7,934",12.6,10.3,14.8,"51,434","50,145","52,724", , , , , , 
1,91,AL,Marengo County,"5,656","4,590","6,722",26.2,21.2,31.1,"1,898","1,517","2,279",33,26.4,39.6,"1,324","1,035","1,613",30.8,24.1,37.5,"30,515","27,724","33,306", , , , , , 
1,93,AL,Marion County,"4,990","4,074","5,907",17.1,14,20.3,"1,616","1,292","1,940",25.4,20.3,30.5,"1,107",863,"1,351",24,18.7,29.3,"32,792","30,179","35,406", , , , , , 
1,95,AL,Marshall County,"15,021","12,688","17,354",17.5,14.7,20.2,"5,267","4,284","6,250",24.3,19.8,28.8,"3,513","2,789","4,237",23.7,18.8,28.6,"37,142","34,769","39,515", , , , , , 
1,97,AL,Mobile County,"75,490","69,128","81,853",19.1,17.5,20.7,"31,416","28,049","34,784",29.8,26.6,33,"20,549","18,163","22,935",26.9,23.8,30.1,"38,188","36,530","39,846", , , , , , 
1,99,AL,Monroe County,"5,077","4,095","6,060",22,17.8,26.3,"1,644","1,311","1,977",27.2,21.7,32.8,"1,143",895,"1,391",25.2,19.7,30.7,"32,163","29,252","35,074", , , , , , 
1,101,AL,Montgomery County,"39,350","35,312","43,389",18.6,16.7,20.5,"15,416","13,432","17,401",27,23.5,30.5,"10,322","8,816","11,828",25.4,21.7,29.2,"40,922","39,205","42,639", , , , , , 
1,103,AL,Morgan County,"18,120","15,514","20,725",16,13.7,18.3,"6,187","5,200","7,174",22.6,19,26.1,"3,890","3,169","4,611",19.5,15.9,23.1,"40,681","38,036","43,326", , , , , , 
1,105,AL,Perry County,"3,414","2,732","4,096",32.3,25.9,38.8,"1,367","1,084","1,651",43.4,34.4,52.5,979,759,"1,199",43.1,33.4,52.7,"22,637","20,543","24,730", , , , , , 
1,107,AL,Pickens County,"4,572","3,727","5,418",23,18.8,27.3,"1,457","1,153","1,761",28.8,22.8,34.9,"1,021",792,"1,250",27.4,21.3,33.6,"29,737","27,041","32,434", , , , , , 
1,109,AL,Pike County,"8,044","7,058","9,030",28.1,24.6,31.5,"2,579","2,190","2,968",37.4,31.8,43,"1,636","1,352","1,920",33.1,27.4,38.9,"29,269","26,786","31,753", , , , , , 
1,111,AL,Randolph County,"3,841","3,072","4,609",17.5,14,20.9,"1,400","1,112","1,687",26.1,20.7,31.5,939,728,"1,150",23.6,18.3,28.9,"32,984","30,277","35,691", , , , , , 
1,113,AL,Russell County,"11,778","9,904","13,651",23.9,20.1,27.7,"4,093","3,350","4,837",32.3,26.5,38.2,"2,827","2,265","3,389",30.3,24.3,36.3,"30,627","28,120","33,133", , , , , , 
1,115,AL,St. Clair County,"7,631","6,238","9,025",10.4,8.5,12.3,"2,795","2,234","3,356",16.2,12.9,19.4,"1,964","1,537","2,391",15.3,12,18.7,"45,549","41,860","49,237", , , , , , 
1,117,AL,Shelby County,"12,648","10,574","14,722",7.2,6,8.4,"3,888","3,229","4,547",8.6,7.2,10.1,"2,653","2,145","3,161",8.3,6.7,9.9,"66,476","63,546","69,407", , , , , , 
1,119,AL,Sumter County,"4,102","3,313","4,891",30.8,24.8,36.7,"1,424","1,135","1,714",40.4,32.2,48.6,"1,053",823,"1,283",39,30.5,47.6,"23,130","21,334","24,926", , , , , , 
1,121,AL,Talladega County,"14,151","11,759","16,544",18.4,15.3,21.6,"4,765","3,844","5,686",25.8,20.8,30.7,"3,253","2,584","3,922",24.2,19.2,29.2,"35,524","32,936","38,112", , , , , , 
