State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
1,51,AL,Elmore County,"8,913","7,483","10,343",13.1,11,15.2,"3,474","2,851","4,097",19.9,16.4,23.5,"2,506","2,044","2,968",19.9,16.2,23.5,"45,474","42,618","48,329",,,,,,
1,53,AL,Escambia County,"7,729","6,566","8,891",22.2,18.9,25.5,"2,675","2,181","3,170",31,25.3,36.7,"1,703","1,351","2,055",27.6,21.9,33.3,"30,600","28,440","32,760",,,,,,
1,55,AL,Etowah County,"15,975","13,838","18,112",15.8,13.7,18,"5,327","4,375","6,279",23.2,19.1,27.4,"3,795","3,039","4,551",22.9,18.4,27.5,"32,973","31,139","34,808",,,,,,
1,57,AL,Fayette County,"3,185","2,614","3,757",17.9,14.7,21.1,"1,072",845,"1,298",27,21.3,32.6,759,587,931,26,20.1,31.8,"31,720","28,883","34,556",,,,,,
1,59,AL,Franklin County,"5,909","4,966","6,852",19.5,16.4,22.6,"1,858","1,462","2,253",26,20.5,31.5,"1,291",981,"1,601",25.6,19.5,31.8,"29,698","27,110","32,286",,,,,,
1,61,AL,Geneva County,"5,142","4,156","6,127",20.3,16.4,24.1,"1,701","1,324","2,078",30.6,23.9,37.4,"1,112",845,"1,379",27.5,20.9,34,"29,492","26,777","32,207",,,,,,
1,63,AL,Greene County,"3,244","2,599","3,889",33.9,27.2,40.7,"1,118",868,"1,367",43.7,33.9,53.4,745,567,923,39.9,30.4,49.5,"22,436","20,383","24,490",,,,,,
1,65,AL,Hale County,"5,133","4,287","5,979",30.4,25.4,35.4,"2,029","1,656","2,401",44.3,36.1,52.4,"1,324","1,060","1,588",38.7,31,46.4,"27,535","25,059","30,012",,,,,,
1,67,AL,Henry County,"2,881","2,334","3,428",17.6,14.2,20.9,944,735,"1,153",25.5,19.9,31.2,632,481,783,24.1,18.3,29.8,"33,191","30,408","35,975",,,,,,
1,69,AL,Houston County,"13,792","12,183","15,402",14.9,13.1,16.6,"5,072","4,252","5,893",22,18.5,25.6,"3,282","2,660","3,904",20.1,16.3,24,"37,947","35,680","40,213",,,,,,
1,71,AL,Jackson County,"9,932","8,448","11,416",18.8,16,21.6,"3,322","2,723","3,922",27.9,22.9,32.9,"2,039","1,611","2,467",23.4,18.5,28.3,"32,208","30,341","34,075",,,,,,
1,73,AL,Jefferson County,"100,709","90,881","110,538",15.7,14.2,17.3,"37,317","32,843","41,792",24.2,21.3,27.1,"25,205","21,781","28,629",23,19.9,26.2,"41,821","40,337","43,306",,,,,,
1,75,AL,Lamar County,"2,511","2,017","3,004",17,13.7,20.4,780,602,958,24.7,19.1,30.3,515,390,640,22.1,16.7,27.4,"30,373","27,743","33,003",,,,,,
1,77,AL,Lauderdale County,"15,862","13,708","18,017",18.5,16,21,"5,006","4,142","5,870",27.2,22.5,31.9,"2,947","2,344","3,550",21.9,17.4,26.3,"33,448","31,652","35,245",,,,,,
1,79,AL,Lawrence County,"5,477","4,494","6,460",16,13.1,18.8,"1,768","1,394","2,142",22,17.4,26.7,"1,245",962,"1,528",20.7,16,25.4,"37,871","35,007","40,736",,,,,,
1,81,AL,Lee County,"24,339","21,959","26,718",20.6,18.6,22.6,"4,584","3,768","5,399",17.8,14.6,20.9,"2,952","2,332","3,572",15.7,12.4,19,"35,320","33,311","37,329",,,,,,
1,83,AL,Limestone County,"8,764","7,217","10,312",13,10.7,15.3,"2,791","2,212","3,371",17.4,13.8,21,"1,812","1,400","2,224",15.3,11.8,18.7,"40,745","37,892","43,598",,,,,,
1,85,AL,Lowndes County,"3,838","3,202","4,474",29.5,24.6,34.4,"1,380","1,102","1,657",38.9,31.1,46.7,892,690,"1,094",35.2,27.2,43.2,"25,590","23,238","27,943",,,,,,
1,87,AL,Macon County,"6,493","5,286","7,699",32,26,37.9,"2,035","1,584","2,486",40.1,31.2,49,"1,432","1,095","1,769",37.7,28.8,46.6,"23,500","21,497","25,503",,,,,,
1,89,AL,Madison County,"29,958","26,272","33,644",10.3,9.1,11.6,"10,311","8,585","12,036",14.7,12.2,17.1,"6,515","5,324","7,706",12.5,10.2,14.8,"50,522","48,858","52,185",,,,,,
1,91,AL,Marengo County,"5,456","4,429","6,482",25.2,20.5,30,"1,884","1,479","2,289",32.8,25.7,39.8,"1,333","1,028","1,638",31.7,24.5,39,"29,635","26,863","32,407",,,,,,
1,93,AL,Marion County,"5,357","4,369","6,345",18.4,15,21.8,"1,707","1,337","2,077",26.9,21.1,32.8,"1,165",899,"1,431",25.4,19.6,31.2,"29,800","27,153","32,446",,,,,,
1,95,AL,Marshall County,"15,797","13,513","18,081",18.7,16,21.4,"5,976","4,984","6,967",28.7,23.9,33.5,"3,853","3,157","4,549",26.9,22.1,31.8,"34,668","32,544","36,792",,,,,,
1,97,AL,Mobile County,"78,423","70,742","86,104",20,18,21.9,"31,676","27,771","35,581",30.6,26.8,34.4,"20,566","17,684","23,448",27.8,23.9,31.6,"36,143","34,643","37,643",,,,,,
1,99,AL,Monroe County,"5,232","4,302","6,162",22.3,18.4,26.3,"1,780","1,414","2,146",29.1,23.1,35.1,"1,182",914,"1,450",26,20.1,31.9,"30,964","28,081","33,848",,,,,,
1,101,AL,Montgomery County,"36,323","31,821","40,825",17.4,15.2,19.6,"13,842","11,751","15,933",25.1,21.3,28.8,"9,002","7,460","10,544",23.3,19.3,27.3,"39,749","37,745","41,754",,,,,,
1,103,AL,Morgan County,"15,593","13,330","17,855",14,11.9,16,"5,768","4,776","6,760",21.5,17.8,25.2,"3,797","3,112","4,482",19.5,16,23,"41,339","39,434","43,244",,,,,,
1,105,AL,Perry County,"3,750","3,019","4,481",34.9,28.1,41.7,"1,483","1,149","1,817",46.3,35.9,56.8,"1,034",785,"1,283",46.8,35.5,58,"22,109","20,098","24,119",,,,,,
1,107,AL,Pickens County,"4,649","3,776","5,521",23.3,19,27.7,"1,569","1,226","1,912",31.3,24.5,38.2,"1,045",800,"1,290",28.5,21.8,35.2,"28,578","25,920","31,236",,,,,,
1,109,AL,Pike County,"8,194","6,975","9,413",28.6,24.4,32.9,"2,798","2,380","3,216",41.2,35.1,47.4,"1,602","1,331","1,873",33.9,28.2,39.6,"27,581","25,154","30,008",,,,,,
1,111,AL,Randolph County,"4,228","3,426","5,030",19.2,15.5,22.8,"1,470","1,153","1,787",27.6,21.7,33.6,"1,001",766,"1,236",25.4,19.4,31.3,"32,974","30,219","35,729",,,,,,
1,113,AL,Russell County,"9,680","8,248","11,112",20,17,22.9,"3,451","2,766","4,135",28.2,22.6,33.9,"2,307","1,806","2,808",25.3,19.8,30.8,"30,155","28,371","31,938",,,,,,
1,115,AL,St. Clair County,"9,242","7,511","10,973",13.2,10.7,15.6,"3,276","2,580","3,973",19.8,15.6,24,"2,272","1,749","2,795",18.5,14.2,22.8,"45,416","42,477","48,355",,,,,,
1,117,AL,Shelby County,"10,653","9,000","12,306",6.3,5.3,7.3,"3,352","2,677","4,027",7.9,6.3,9.4,"2,221","1,715","2,727",7.4,5.7,9.1,"61,563","58,704","64,422",,,,,,
1,119,AL,Sumter County,"4,963","3,989","5,937",36.6,29.4,43.8,"1,637","1,269","2,004",45.3,35.1,55.5,"1,122",853,"1,391",41.8,31.8,51.9,"21,252","19,647","22,858",,,,,,
1,121,AL,Talladega County,"14,835","12,647","17,023",19.3,16.5,22.2,"5,194","4,320","6,068",28.1,23.3,32.8,"3,182","2,527","3,837",24,19.1,29,"33,986","31,350","36,622",,,,,,
1,123,AL,Tallapoosa County,"7,185","5,956","8,414",18.2,15.1,21.3,"2,390","1,912","2,867",26.3,21,31.5,"1,577","1,217","1,937",23.4,18.1,28.7,"32,672","30,259","35,086",,,,,,
1,125,AL,Tuscaloosa County,"32,787","29,412","36,161",20.4,18.3,22.5,"9,328","7,879","10,776",25,21.1,28.9,"5,790","4,703","6,877",22,17.9,26.1,"34,459","32,632","36,287",,,,,,
1,127,AL,Walker County,"10,714","9,110","12,318",15.6,13.2,17.9,"3,525","2,852","4,198",22.7,18.4,27.1,"2,340","1,860","2,820",21,16.7,25.3,"33,666","31,447","35,885",,,,,,
1,129,AL,Washington County,"3,565","2,899","4,231",20.2,16.4,24,"1,216",945,"1,487",26.9,20.9,32.9,829,633,"1,025",24.2,18.5,30,"33,001","30,001","36,001",,,,,,
1,131,AL,Wilcox County,"4,819","3,986","5,652",37.8,31.3,44.3,"1,835","1,470","2,199",48.8,39.1,58.5,"1,258",990,"1,526",47.1,37.1,57.2,"19,407","17,710","21,104",,,,,,
1,133,AL,Winston County,"5,269","4,350","6,188",21.8,18,25.6,"1,702","1,356","2,047",32.1,25.6,38.6,"1,184",929,"1,439",29.8,23.4,36.2,"29,320","26,688","31,952",,,,,,
2,0,AK,Alaska,"69,093","65,951","72,236",10.8,10.3,11.3,"25,976","24,182","27,769",14.2,13.2,15.2,"16,841","15,328","18,354",12.8,11.6,13.9,"55,477","54,210","56,743","7,757","6,911","8,602",15.8,14,17.5
2,13,AK,Aleutians East Borough,225,176,274,16.8,13.1,20.5,47,36,58,14.4,11,17.9,29,22,36,12.4,9.2,15.6,"47,177","42,955","51,399",,,,,,
2,16,AK,Aleutians West Census Area,273,216,331,9.2,7.2,11.1,52,39,64,7.7,5.8,9.6,32,24,40,6.1,4.5,7.7,"60,138","55,409","64,867",,,,,,
2,20,AK,Anchorage Borough,"24,292","20,860","27,724",9.2,7.9,10.5,"8,824","7,160","10,489",11.7,9.5,13.9,"5,707","4,467","6,947",10.6,8.3,12.9,"61,018","58,669","63,368",,,,,,
2,50,AK,Bethel Census Area,"3,340","2,740","3,939",20,16.4,23.6,"1,725","1,366","2,085",26.3,20.8,31.8,"1,182",910,"1,454",26.9,20.7,33,"45,504","42,856","48,151",,,,,,
2,60,AK,Bristol Bay Borough,101,80,123,9.1,7.2,11.1,30,23,38,10.9,8.3,13.5,21,15,27,9.9,7.3,12.5,"58,017","52,540","63,495",,,,,,
2,68,AK,Denali Borough,120,94,146,6.6,5.2,8,24,18,30,6.1,4.6,7.7,16,12,20,5.9,4.3,7.4,"58,019","52,634","63,404",,,,,,
2,70,AK,Dillingham Census Area,"1,100",892,"1,308",22.7,18.4,27,494,384,605,29.3,22.7,35.8,331,250,412,26,19.6,32.4,"43,991","39,937","48,044",,,,,,
2,90,AK,Fairbanks North Star Borough,"7,368","6,219","8,517",8.9,7.5,10.2,"2,686","2,163","3,210",10.9,8.8,13,"1,718","1,342","2,094",10.1,7.9,12.3,"55,408","51,729","59,087",,,,,,
2,100,AK,Haines Borough,270,212,327,11.9,9.4,14.5,82,63,102,18.6,14.1,23.1,55,41,69,15.7,11.5,19.8,"41,981","37,996","45,966",,,,,,
2,110,AK,Juneau Borough,"2,201","1,767","2,634",7.3,5.9,8.7,699,536,861,9.3,7.2,11.5,426,317,535,7.7,5.8,9.7,"67,614","62,901","72,328",,,,,,
2,122,AK,Kenai Peninsula Borough,"5,657","4,650","6,665",11.2,9.2,13.2,"1,863","1,449","2,277",14.3,11.1,17.4,"1,195",905,"1,485",12.1,9.1,15,"48,373","45,032","51,713",,,,,,
2,130,AK,Ketchikan Gateway Borough,"1,199",950,"1,448",9.3,7.3,11.2,433,331,535,12.8,9.8,15.8,272,202,342,10.9,8.1,13.7,"53,152","49,121","57,183",,,,,,
2,150,AK,Kodiak Island Borough,"1,095",868,"1,322",8.6,6.8,10.4,429,328,530,11.2,8.5,13.8,265,197,333,9.2,6.9,11.6,"54,933","50,320","59,545",,,,,,
2,164,AK,Lake and Peninsula Borough,320,253,388,20.6,16.2,24.9,149,113,184,30,22.8,37.2,100,74,126,25.7,19,32.4,"34,806","31,558","38,055",,,,,,
2,170,AK,Matanuska-Susitna Borough,"8,414","7,201","9,627",11.3,9.7,12.9,"2,729","2,195","3,263",13.5,10.8,16.1,"1,797","1,394","2,200",11.7,9.1,14.4,"57,134","54,691","59,578",,,,,,
2,180,AK,Nome Census Area,"1,952","1,599","2,304",21.7,17.7,25.6,896,706,"1,086",27.6,21.7,33.4,551,422,680,24.5,18.8,30.3,"42,623","38,639","46,606",,,,,,
2,185,AK,North Slope Borough,867,688,"1,045",12.7,10.1,15.4,410,314,507,16.3,12.4,20.1,255,189,321,15.3,11.4,19.3,"62,760","58,165","67,355",,,,,,
2,188,AK,Northwest Arctic Borough,"1,496","1,224","1,768",20.6,16.9,24.4,743,581,904,25.1,19.6,30.6,491,372,610,24.2,18.3,30.1,"48,280","44,156","52,403",,,,,,
2,201,AK,Prince of Wales-Outer Ketchikan Census Area,863,691,"1,034",15.6,12.5,18.7,305,234,376,21.6,16.6,26.6,203,151,255,18.4,13.6,23.1,"39,247","35,587","42,906",,,,,,
2,220,AK,Sitka Borough,710,560,860,8.2,6.4,9.9,241,183,298,10.8,8.2,13.4,146,108,184,9.2,6.8,11.6,"54,499","49,581","59,416",,,,,,
2,232,AK,Skagway-Hoonah-Angoon Census Area,399,317,481,12.9,10.2,15.5,119,90,147,18.4,14,22.7,81,60,102,15.7,11.6,19.8,"42,591","38,612","46,570",,,,,,
2,240,AK,Southeast Fairbanks Census Area,976,771,"1,181",15.5,12.3,18.8,416,317,515,22.9,17.4,28.3,268,198,338,20,14.8,25.1,"46,292","42,200","50,384",,,,,,
2,261,AK,Valdez-Cordova Census Area,"1,035",827,"1,243",10.6,8.5,12.8,310,238,382,12.5,9.6,15.4,204,152,256,10.7,8,13.4,"52,864","48,401","57,328",,,,,,
2,270,AK,Wade Hampton Census Area,"2,541","2,099","2,983",34,28.1,39.9,"1,478","1,180","1,776",44.2,35.3,53.1,988,772,"1,204",45,35.1,54.8,"29,213","26,564","31,862",,,,,,
2,280,AK,Wrangell-Petersburg Census Area,613,485,741,9.9,7.9,12,220,168,273,14.2,10.8,17.6,140,104,176,11.6,8.6,14.6,"48,183","43,663","52,703",,,,,,
2,282,AK,Yakutat Borough,90,70,109,15.2,11.9,18.5,21,16,26,16.1,12,20.1,14,10,18,14.1,10.2,18,"46,505","42,073","50,937",,,,,,
2,290,AK,Yukon-Koyukuk Census Area,"1,578","1,285","1,870",26.1,21.3,31,550,426,675,30.9,23.9,37.8,354,266,442,26.8,20.2,33.5,"30,907","28,075","33,739",,,,,,
4,0,AZ,Arizona,"836,742","818,414","855,071",14.4,14.1,14.7,"323,003","311,747","334,258",20.9,20.2,21.6,"205,175","196,027","214,323",18.9,18.1,19.8,"44,402","43,799","45,004","110,038","103,639","116,437",24.3,22.9,25.7
4,1,AZ,Apache County,"28,285","24,606","31,964",41.7,36.2,47.1,"12,314","10,480","14,148",51.4,43.7,59,"8,363","6,988","9,738",47.7,39.8,55.5,"26,308","24,018","28,598",,,,,,
4,3,AZ,Cochise County,"20,205","17,354","23,056",16.9,14.5,19.2,"7,587","6,203","8,972",24.3,19.9,28.8,"5,142","4,191","6,093",23,18.7,27.2,"36,296","34,368","38,223",,,,,,
4,5,AZ,Coconino County,"21,717","18,808","24,626",18,15.6,20.5,"7,644","6,269","9,018",23.1,19,27.3,"5,080","4,074","6,086",21.9,17.6,26.2,"41,446","38,698","44,194",,,,,,
4,7,AZ,Gila County,"10,025","8,157","11,894",19.9,16.2,23.6,"3,868","3,023","4,713",31.5,24.7,38.4,"2,591","1,980","3,202",29.6,22.6,36.5,"33,862","31,136","36,588",,,,,,
4,9,AZ,Graham County,"7,036","5,763","8,308",23.7,19.4,28,"2,780","2,195","3,365",30.7,24.2,37.2,"1,945","1,493","2,397",28.4,21.8,35,"33,558","30,820","36,297",,,,,,
4,11,AZ,Greenlee County,958,763,"1,153",12.8,10.2,15.5,379,291,466,18,13.8,22.1,251,189,313,15,11.3,18.8,"43,338","39,366","47,310",,,,,,
4,12,AZ,La Paz County,"4,298","3,443","5,154",21.6,17.3,25.9,"1,268",984,"1,553",32.4,25.1,39.6,868,656,"1,080",30.8,23.3,38.4,"29,015","26,695","31,335",,,,,,
4,13,AZ,Maricopa County,"450,439","428,650","472,228",12.6,12,13.2,"178,681","165,749","191,613",18.3,17,19.6,"110,566","101,123","120,009",16.4,15,17.8,"48,752","47,904","49,600",,,,,,
4,15,AZ,Mohave County,"28,781","24,930","32,632",15.6,13.5,17.7,"10,953","9,098","12,809",26.7,22.2,31.2,"6,963","5,561","8,365",23.4,18.7,28.1,"35,320","33,242","37,397",,,,,,
4,17,AZ,Navajo County,"30,443","26,798","34,089",28.8,25.3,32.2,"13,228","11,290","15,165",38.6,32.9,44.2,"9,569","8,051","11,087",37.8,31.8,43.8,"31,532","29,731","33,334",,,,,,
4,19,AZ,Pima County,"134,104","124,410","143,798",14.9,13.8,16,"47,294","42,614","51,974",21.5,19.3,23.6,"29,542","26,315","32,769",18.9,16.8,21,"41,484","40,654","42,313",,,,,,
4,21,AZ,Pinal County,"33,568","29,548","37,588",15.7,13.9,17.6,"11,524","9,628","13,421",20.8,17.3,24.2,"7,535","6,169","8,901",18.9,15.4,22.3,"41,177","39,873","42,481",,,,,,
4,23,AZ,Santa Cruz County,"8,485","6,904","10,066",20.4,16.6,24.1,"3,878","3,051","4,706",29.2,22.9,35.4,"2,587","1,999","3,175",27.6,21.3,33.8,"33,491","30,758","36,224",,,,,,
