State FIPS,County FIPS,Postal,Name,Poverty Estimate All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent All Ages,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Under Age 18,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 5-17,90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,Poverty Estimate Ages 0-4,90% CI Lower Bound,90% CI Upper Bound,Poverty Percent Ages 0-4,90% CI Lower Bound,90% CI Upper Bound
0,0,US,United States,"38,052,247","37,829,283","38,275,211",13,12.9,13,"13,097,100","12,981,173","13,213,027",18,17.9,18.2,"8,499,844","8,419,720","8,579,968",16.4,16.2,16.5,"50,740","50,665","50,815","4,229,120","4,178,842","4,279,398",20.8,20.5,21
1,0,AL,Alabama,"750,197","734,699","765,695",16.6,16.3,17,"261,151","252,546","269,756",23.6,22.8,24.4,"174,665","166,811","182,519",21.9,20.9,22.9,"40,596","40,178","41,014","81,858","78,293","85,424",27.1,25.9,28.2
1,1,AL,Autauga County,"5,155","4,189","6,120",10.4,8.4,12.3,"1,815","1,400","2,230",13.8,10.6,16.9,"1,219",925,"1,513",12.6,9.6,15.7,"50,375","47,219","53,532", , , , , , 
1,3,AL,Baldwin County,"17,500","14,635","20,364",10.3,8.6,12,"6,074","4,835","7,312",15.3,12.1,18.4,"4,327","3,386","5,268",15,11.7,18.2,"49,163","46,500","51,826", , , , , , 
1,5,AL,Barbour County,"6,442","5,353","7,530",26.1,21.7,30.5,"2,130","1,672","2,589",34.1,26.7,41.4,"1,446","1,096","1,796",31.5,23.9,39.2,"30,370","27,689","33,050", , , , , , 
1,7,AL,Bibb County,"3,664","2,820","4,508",18.2,14,22.3,"1,219",916,"1,522",24.2,18.2,30.2,842,625,"1,059",22.5,16.7,28.3,"38,907","35,400","42,414", , , , , , 
1,9,AL,Blount County,"7,329","5,917","8,741",13.1,10.6,15.6,"2,490","1,937","3,044",18.5,14.4,22.6,"1,720","1,313","2,127",17.4,13.3,21.5,"43,266","40,089","46,442", , , , , , 
1,11,AL,Bullock County,"3,155","2,453","3,858",34,26.5,41.6,982,739,"1,224",38.7,29.1,48.2,654,485,823,37.4,27.7,47,"24,969","22,440","27,499", , , , , , 
1,13,AL,Butler County,"4,598","3,742","5,454",23.2,18.9,27.5,"1,653","1,302","2,005",34.2,27,41.5,"1,145",878,"1,412",33.1,25.3,40.8,"30,460","27,821","33,098", , , , , , 
1,15,AL,Calhoun County,"18,838","16,364","21,311",17.1,14.8,19.3,"6,366","5,259","7,473",24.7,20.4,29,"4,387","3,553","5,221",24,19.4,28.5,"37,478","35,705","39,252", , , , , , 
